"Index","Offset","TokenVar","TargetProp","TokenType","TokenString"
"667","7889301","Ci","_sessionStore","Symbol","aiAgent.ICredentialConnectorService"
"668","7892206","Eh","","Symbol.for","aiAgent.IStorageFacade"
"669","7892295","xC","","Symbol","ISessionStore"
"670","7892384","IN","","Symbol","ISessionRelationStoreInternal"
"671","7892481","","","",""
"672","7897415","Ci","","Symbol","aiAgent.ICredentialConnectorService"
"673","7897518","MY","","Symbol.for","aiAgent.IConfigurationFacade"
"674","7897613","Ei","","Symbol.for","aiAgent.ICredentialFacade"
"675","7897776","Ei","","Symbol.for","aiAgent.ICredentialFacade"
"676","7897881","bY","","Symbol.for","aiAgent.ILogService"
"677","7898020","bY","","Symbol.for","aiAgent.ILogService"
"678","7898107","ks","","Symbol.for","aiAgent.IAiAgentClientManagerService"
"679","7898206","Do","","",""
"680","7905857","","","",""
"681","8030147","","_clientMap","",""
"682","8034617","Yq","","Symbol.for","IHuoshanAsrClientService"
"683","8034753","Ju","","Symbol.for","IAWSASRClientService"
"684","8034885","Ci","","Symbol","aiAgent.ICredentialConnectorService"
"685","8034988","bY","","Symbol.for","aiAgent.ILogService"
"686","8035075","Do","","",""
"687","8035166","Ma","","Symbol.for","ITeaFacade"
"688","8035305","Ma","","Symbol.for","ITeaFacade"
"689","8035385","","","",""
"690","8036305","M5","","Symbol.for","aiAgent.IAiClientManagerService"
"691","8039332","ks","","Symbol.for","aiAgent.IAiAgentClientManagerService"
"692","8039479","ks","_stora","Symbol.for","aiAgent.IAiAgentClientManagerService"
"693","8039576","bY","_storageFacade","Symbol.for","aiAgent.ILogService"
"694","8039663","Ci","_storageFacade","Symbol","aiAgent.ICredentialConnectorService"
"695","8039766","","_storageFacade","",""
"696","8042356","Ma","","Symbol.for","ITeaFacade"
"697","8042443","T8","","Symbol","ILintErrorAutoFixStore"
"698","8042637","T8","","Symbol","ILintErrorAutoFixStore"
"699","8048376","Ci","","Symbol","aiAgent.ICredentialConnectorService"
"700","8048514","Ci","","Symbol","aiAgent.ICredentialConnectorService"
"701","8048617","bY","","Symbol.for","aiAgent.ILogService"
"702","8048704","Cv","","Symbol.for","aiAgent.II18nService"
"703","8048791","","","",""
"704","8048960","AM","","Symbol.for","IUtilFacade"
"705","8049098","AM","","Symbol.for","IUtilFacade"
"706","8058583","JJ","","Symbol","ICommercialActivityStore"
"707","8058758","JJ","","Symbol","ICommercialActivityStore"
"708","8058858","BU","","Symbol.for","ICommercialApiService"
"709","8058955","Ci","","Symbol","aiAgent.ICredentialConnectorService"
"710","8059058","Ei","","Symbol.for","aiAgent.ICredentialFacade"
"711","8059150","zt","","Symbol.for","IChatStreamEmitter"
"712","8059288","zt","","Symbol.for","IChatStreamEmitter"
"713","8059382","bY","","Symbol.for","aiAgent.ILogService"
"714","8059469","Nc","","Symbol","IEntitlementStore"
"715","8059562","MR","","Symbol.for","aiAgent.ISlardarFacade"
"716","8059652","","","",""
"717","8063191","bY","","Symbol.for","aiAgent.ILogService"
"718","8063330","bY","","Symbol.for","aiAgent.ILogService"
"719","8063417","","","",""
"720","8067567","ks","","Symbol.for","aiAgent.IAiAgentClientManagerService"
"721","8067667","bY","","Symbol.for","aiAgent.ILogService"
"722","8067757","M0","","Symbol.for","aiAgent.ISessionService"
"723","8068623","","","",""
"724","8074649","eed","","Symbol","IButtonConfigFactory"
"725","8074750","eef","","Symbol","IWarningTipsConfigFactory"
"726","8074856","eew","","Symbol","IPopoverConfigFactory"
"727","8084930","M0","","Symbol.for","aiAgent.ISessionService"
"728","8085023","Os","","Symbol.for","aiAgent.IConfigurationConnectorService"
"729","8085131","eeo","","Symbol","ISandboxAPIService"
"730","8085230","Cv","","Symbol.for","aiAgent.II18nService"
"731","8085320","eeC","","Symbol","IAutoRunFeatureConfigService"
"732","8085422","Ci","","Symbol","aiAgent.ICredentialConnectorService"
"733","8085587","Ci","","Symbol","aiAgent.ICredentialConnectorService"
"734","8085693","","","",""
"735","8085835","Tm","","Symbol.for","ai.IDocsetStore"
"736","8086024","Tm","","Symbol.for","ai.IDocsetStore"
"737","8087539","Os","","Symbol.for","aiAgent.IConfigurationConnectorService"
"738","8087647","Tm","","Symbol.for","ai.IDocsetStore"
"739","8087736","eee","","Symbol.for","IRunCommandFeatureService"
