"Index","Offset","TokenVar","TargetProp","TokenType","TokenString"
"257","7493109","Do","","",""
"258","7504321","DK","","Symbol","IMetadataParser"
"259","7504411","zp","","Symbol","IChatStreamFirstTokenReporter"
"260","7504516","zf","","Symbol.for","IErrorStreamParser"
"261","7504623","Di","","Symbol.for","aiAgent.IAiAgentNativeChatService"
"262","7505726","Cv","_startWaitingMessage","Symbol.for","aiAgent.II18nService"
"263","7510232","jP","","",""
"264","7510329","Dj","","Symbol.for","IUserMessageParser"
"265","7515174","zf","","Symbol.for","IErrorStreamParser"
"266","7515281","zC","","Symbol.for","IChatStreamWaitingMessageReporter"
"267","7515389","zp","","Symbol","IChatStreamFirstTokenReporter"
"268","7515493","zN","","Symbol.for","IChatStreamBizReporter"
"269","7515590","D5","","Symbol","IPlanItemParser"
"270","7515680","bY","","Symbol.for","aiAgent.ILogService"
"271","7515767","zO","","Symbol.for","aiAgent.ITaskService"
"272","7518186","bY","","Symbol.for","aiAgent.ILogService"
"273","7518273","kd","","Symbol.for","aiChat.IAIChatRequestErrorService"
"274","7518375","zf","","Symbol.for","IErrorStreamParser"
"275","7518482","","","",""
"276","7519922","zf","_chatStreamFirstTokenReporter","Symbol.for","IErrorStreamParser"
"277","7520029","zN","_chatStreamFirstTokenReporter","Symbol.for","IChatStreamBizReporter"
"278","7520126","zC","_chatStreamFirstTokenReporter","Symbol.for","IChatStreamWaitingMessageReporter"
"279","7521159","kS","_chatStreamFirstTokenReporter","Symbol.for","aiAgent.IAiAgentClientManagerService"
"280","7521254","zp","_chatStreamFirstTokenReporter","Symbol","IChatStreamFirstTokenReporter"
"281","7521359","zf","_chatStreamFirstTokenReporter","Symbol.for","IErrorStreamParser"
"282","7522093","zp","","Symbol","IChatStreamFirstTokenReporter"
"283","7522198","zN","","Symbol.for","IChatStreamBizReporter"
"284","7522296","zf","","Symbol.for","IErrorStreamParser"
"285","7522404","zC","","Symbol.for","IChatStreamWaitingMessageReporter"
"286","7524066","DQ","_chatStreamFirstTokenReporter","Symbol","IUserMessageContextParser"
"287","7524681","zp","","Symbol","IChatStreamFirstTokenReporter"
"288","7527216","bY","","Symbol.for","aiAgent.ILogService"
"289","7534545","bY","","Symbol.for","aiAgent.ILogService"
"290","7534632","Do","","",""
"291","7534716","j8","","Symbol.for","IChatStreamRequestFactory"
"292","7534816","Di","","Symbol.for","aiAgent.IAiAgentNativeChatService"
"293","7534911","Bi","","Symbol","IEventHandlerFactory"
"294","7535006","ks","_teaFirstToken","Symbol.for","aiAgent.IAiAgentClientManagerService"
"295","7535216","ks","_teaFirstToken","Symbol.for","aiAgent.IAiAgentClientManagerService"
"296","7540402","bY","","Symbol.for","aiAgent.ILogService"
"297","7540488","Dj","","Symbol.for","IUserMessageParser"
"298","7540576","","","",""
"299","7540742","","_logService","",""
"300","7540924","","_logService","",""
"301","7546893","ED","","Symbol.for","aiAgent.IEnvironmentFacade"
"302","7546980","Dj","","Symbol.for","IUserMessageParser"
"303","7547068","zt","","Symbol.for","IChatStreamEmitter"
"304","7547161","Cv","","Symbol.for","aiAgent.II18nService"
"305","7547249","AM","","Symbol.for","IUtilFacade"
"306","7547335","kA","","Symbol.for","aiAgent.IAiNativeModelService"
"307","7547425","zf","","Symbol.for","IErrorStreamParser"
"308","7547532","zN","","Symbol.for","IChatStreamBizReporter"
"309","7547629","kd","_logService","Symbol.for","aiChat.IAIChatRequestErrorService"
"310","7547731","Bf","_logService","Symbol.for","IStuckDetectionService"
"311","7547877","Bf","_logService","Symbol.for","IStuckDetectionService"
"312","7550303","zi","","Symbol.for","IInlineChatStreamEmitter"
"313","7550396","DU","_fileDiffState","Symbol.for","IInlineSessionStoreService"
"314","7550484","zf","_fileDiffState","Symbol.for","IErrorStreamParser"
"315","7550591","zN","_fileDiffState","Symbol.for","IChatStreamBizReporter"
"316","7550688","kd","_fileDiffState","Symbol.for","aiChat.IAIChatRequestErrorService"
"317","7552591","zt","","Symbol.for","IChatStreamEmitter"
"318","7552689","bY","_se","Symbol.for","aiAgent.ILogService"
"319","7552776","","_sessionRelationStore","",""
"320","7552868","","_sessionRelationStore","",""
"321","7557809","Dj","","Symbol.for","IUserMessageParser"
"322","7557897","bY","","Symbol.for","aiAgent.ILogService"
"323","7557984","Bb","","Symbol.for","ISideChatStreamService"
"324","7558062","BA","","Symbol.for","IInlineChatStreamService"
"325","7558142","Di","","Symbol.for","aiAgent.IAiAgentNativeChatService"
"326","7558237","j8","","Symbol.for","IChatStreamRequestFactory"
"327","7558337","zp","","Symbol","IChatStreamFirstTokenReporter"
"328","7558441","zf","","Symbol.for","IErrorStreamParser"
"329","7558548","zN","","Symbol.for","IChatStreamBizReporter"
"330","7558645","zC","","Symbol.for","IChatStreamWaitingMessageReporter"
"331","7558753","Bk","","Symbol.for","IChatStreamContributionReporter"
"332","7558859","jP","","",""
"333","7558956","kh","","Symbol","ICommercialActivityService"
"334","7559058","IN","","Symbol","ISessionRelationStoreInternal"
"335","7559155","Il","","Symbol.for","aiAgent.ICommercialPermissionService"
"336","7559318","Il","","Symbol.for","aiAgent.ICommercialPermissionService"
"337","7561132","ks","","Symbol.for","aiAgent.IAiAgentClientManagerService"
"338","7561229","bY","","Symbol.for","aiAgent.ILogService"
"339","7565242","bY","","Symbol.for","aiAgent.ILogService"
"340","7572678","","","",""
"341","7572825","","","",""
"342","7572992","","","",""
"343","7573186","","","",""
"344","7573361","bY","","Symbol.for","aiAgent.ILogService"
"345","7573553","bY","","Symbol.for","aiAgent.ILogService"
"346","7573639","BZ","","Symbol.for","IFileDiffTruncationService"
"347","7574115","","","",""
"348","7577425","bY","","Symbol.for","aiAgent.ILogService"
"349","7577512","ED","","Symbol.for","aiAgent.IEnvironmentFacade"
"350","7577606","Di","","Symbol.for","aiAgent.IAiAgentNativeChatService"
"351","7577702","Tm","","Symbol.for","ai.IDocsetStore"
"352","7577789","","","",""
"353","7577983","M0","","Symbol.for","aiAgent.ISessionService"
"354","7578134","M0","","Symbol.for","aiAgent.ISessionService"
"355","7578225","Cv","","Symbol.for","aiAgent.II18nService"
"356","7621224","DK","","Symbol","IMetadataParser"
"357","7621314","D5","","Symbol","IPlanItemParser"
"358","7621404","D8","","Symbol","IFeeUsageParser"
"359","7621494","Oi","","Symbol.for","INotificationStreamParser"
"360","7621588","kd","","Symbol.for","aiChat.IAIChatRequestErrorService"
"361","7621689","D6","","Symbol","IAgentService"
"362","7621777","bY","","Symbol.for","aiAgent.ILogService"
"363","7621863","Eh","","Symbol.for","aiAgent.IStorageFacade"
"364","7624363","DJ","","Symbol.for","IUserMessageParser"
"365","7624456","D2","","Symbol.for","IGeneralMessageParser"
"366","7624552","Un","","Symbol","IAgentMessageParser"
"367","7624650","Do","","",""
"368","7624734","bY","","Symbol.for","aiAgent.ILogService"
"369","7636128","ks","","Symbol.for","aiAgent.IAiAgentClientManagerService"
"370","7636227","Dr","","Symbol.for","aiAgent.IChatSnapshotService"
"371","7636323","I7","","Symbol","IProjectStore"
"372","7636412","Cv","","Symbol.for","aiAgent.II18nService"
"373","7636500","M0","","Symbol.for","aiAgent.ISessionService"
"374","7636591","bY","","Symbol.for","aiAgent.ILogService"
"375","7636678","kd","","Symbol.for","aiChat.IAIChatRequestErrorService"
"376","7636780","Do","","",""
"377","7636864","Ul","","Symbol","IHistoryMessagesParser"
"378","7637003","Ul","","Symbol","IHistoryMessagesParser"
"379","7637154","Ul","","Symbol","IHistoryMessagesParser"
"380","7637252","D5","","Symbol","IPlanItemParser"
"381","7638092","","","",""
"382","7639534","ks","","Symbol.for","aiAgent.IAiAgentClientManagerService"
"383","7639633","M0","","Symbol.for","aiAgent.ISessionService"
"384","7641046","ks","_aiClientManagerService","Symbol.for","aiAgent.IAiAgentClientManagerService"
"385","7641143","M0","_aiClientManagerService","Symbol.for","aiAgent.ISessionService"
"386","7641651","ks","","Symbol.for","aiAgent.IAiAgentClientManagerService"
"387","7641750","M0","","Symbol.for","aiAgent.ISessionService"
"388","7646362","Do","","",""
"389","7646446","ks","_agentAvatarMap","Symbol.for","aiAgent.IAiAgentClientManagerService"
"390","7646543","M0","_agentAvatarMap","Symbol.for","aiAgent.ISessionService"
"391","7646634","Au","_agentAvatarMap","Symbol.for","aiAgent.IFileFacade"
"392","7646721","Cv","_agentAvatarMap","Symbol.for","aiAgent.II18nService"
"393","7646809","bY","_agentAvatarMap","Symbol.for","aiAgent.ILogService"
"394","7650806","Fe","","Symbol.for","aiAgent.IAiAgentIDEChatImageService"
"395","7650955","Fe","","Symbol.for","aiAgent.IAiAgentIDEChatImageService"
"396","7651058","Eh","","Symbol.for","aiAgent.IStorageFacade"
"397","7651148","Ci","","Symbol","aiAgent.ICredentialConnectorService"
"398","7651251","bY","","Symbol.for","aiAgent.ILogService"
"399","7654355","ks","","Symbol.for","aiAgent.IAiAgentClientManagerService"
"400","7654454","M0","","Symbol.for","aiAgent.ISessionService"
"401","7654545","bY","","Symbol.for","aiAgent.ILogService"
"402","7667404","","","",""
"403","7667555","","","",""
"404","7667761","","","",""
"405","7667971","Fe","","Symbol.for","aiAgent.IAiAgentIDEChatImageService"
"406","7668153","Fe","","Symbol.for","aiAgent.IAiAgentIDEChatImageService"
"407","7668246","T5","","Symbol","IAgentStore"
"408","7668338","T5","_credentialC","Symbol","IAgentStore"
"409","7668425","Ei","_credentialConnectorService","Symbol.for","aiAgent.ICredentialFacade"
"410","7668518","bY","_credentialConnectorService","Symbol.for","aiAgent.ILogService"
"411","7668605","Cv","_credentialConnectorService","Symbol.for","aiAgent.II18nService"
"412","7668764","Cv","_credentialConnectorService","Symbol.for","aiAgent.II18nService"
"413","7669996","Eh","_credentialConnectorService","Symbol.for","aiAgent.IStorageFacade"
"414","7670086","Ci","_credentialConnectorService","Symbol","aiAgent.ICredentialConnectorService"
"415","7670189","T5","_credentialConnectorService","Symbol","IAgentStore"
"416","7671456","Eh","","Symbol.for","aiAgent.IStorageFacade"
"417","7671546","Ci","","Symbol","aiAgent.ICredentialConnectorService"
"418","7671649","T5","_credentialInfra","Symbol","IAgentStore"
"419","7675833","bY","","Symbol.for","aiAgent.ILogService"
"420","7675920","kA","","Symbol.for","aiAgent.IAiNativeModelService"
"421","7676011","Ei","","Symbol.for","aiAgent.ICredentialFacade"
"422","7676103","ks","","Symbol.for","aiAgent.IAiAgentClientManagerService"
"423","7676200","Eh","","Symbol.for","aiAgent.IStorageFacade"
"424","7676290","IZ","","Symbol","IConfigurationStore"
"425","7678098","M5","","Symbol.for","aiAgent.IAiClientManagerService"
"426","7678195","bY","","Symbol.for","aiAgent.ILogService"
"427","7680247","Au","","Symbol.for","aiAgent.IFileFacade"
"428","7680338","Au","","Symbol.for","aiAgent.IFileFacade"
"429","7680424","Cv","","Symbol.for","aiAgent.II18nService"
"430","7680512","Db","","Symbol","IFastApplyStore"
"431","7680603","Ei","","Symbol.for","aiAgent.ICredentialFacade"
"432","7680695","Dr","","Symbol.for","aiAgent.IChatSnapshotService"
"433","7693615","Au","","Symbol.for","aiAgent.IFileFacade"
"434","7693706","Au","","Symbol.for","aiAgent.IFileFacade"
"435","7693792","Di","","Symbol.for","aiAgent.IAiAgentNativeChatService"
"436","7693893","Wm","","Symbol.for","aiAgent.IAiNativeFastApplyBaseService"
"437","7693998","WE","","Symbol.for","aiAgent.IAiNativeFastApplyTodoListService"
"438","7694107","M0","","Symbol.for","aiAgent.ISessionService"
"439","7694198","zp","","Symbol","IChatStreamFirstTokenReporter"
"440","7694303","Cv","","Symbol.for","aiAgent.II18nService"
"441","7694391","bY","","Symbol.for","aiAgent.ILogService"
"442","7694478","jP","","",""
"443","7694575","kd","","Symbol.for","aiChat.IAIChatRequestErrorService"
"444","7694677","Do","","",""
"445","7704596","Au","","Symbol.for","aiAgent.IFileFacade"
"446","7704682","M5","","Symbol.for","aiAgent.IAiClientManagerService"
"447","7704779","ED","","Symbol.for","aiAgent.IEnvironmentFacade"
"448","7704873","","_fileInfra","",""
"449","7713436","Au","","Symbol.for","aiAgent.IFileFacade"
"450","7713522","ks","","Symbol.for","aiAgent.IAiAgentClientManagerService"
"451","7713619","ED","","Symbol.for","aiAgent.IEnvironmentFacade"
"452","7713713","M0","","Symbol.for","aiAgent.ISessionService"
"453","7713804","bY","","Symbol.for","aiAgent.ILogService"
"454","7713891","","_fastApplyInfra","",""
"455","7714046","","_fastApplyInfra","",""
"456","7714219","","_fastApplyInfra","",""
"457","7714897","Db","","Symbol","IFastApplyStore"
"458","7714988","","","",""
"459","7719919","bY","","Symbol.for","aiAgent.ILogService"
"460","7720006","M5","","Symbol.for","aiAgent.IAiClientManagerService"
"461","7720105","","","",""
"462","7722860","M5","","Symbol.for","aiAgent.IAiClientManagerService"
"463","7722957","bY","","Symbol.for","aiAgent.ILogService"
"464","7726168","","_docsetListUpdated","",""
"465","7726291","","_docsetListUpdated","",""
"466","7748129","bY","","Symbol.for","aiAgent.ILogService"
"467","7748216","Ga","","Symbol.for","ai.IWebCrawlerFacade"
"468","7748308","Wj","","Symbol.for","ai.IDocsetCkgLocalApiService"
"469","7748409","WV","","Symbol.for","ai.IDocsetOnlineApiService"
"470","7748508","TM","","Symbol.for","ai.IDocsetStore"
"471","7748596","Au","","Symbol.for","aiAgent.IFileFacade"
"472","7748683","Cv","","Symbol.for","aiAgent.II18nService"
"473","7748771","Tm","","Symbol.for","ai.IDocsetStore"
"474","7748858","M5","","Symbol.for","aiAgent.IAiClientManagerService"
"475","7748955","Nc","","Symbol","IEntitlementStore"
"476","7749047","Nc","","Symbol","IEntitlementStore"
"477","7749206","Nc","","Symbol","IEntitlementStore"
"478","7749299","","","",""
"479","7754101","Au","","Symbol.for","aiAgent.IFileFacade"
"480","7754253","Au","","Symbol.for","aiAgent.IFileFacade"
"481","7754340","bY","","Symbol.for","aiAgent.ILogService"
"482","7754427","Tm","","Symbol.for","ai.IDocsetStore"
"483","7754514","ED","","Symbol.for","aiAgent.IEnvironmentFacade"
"484","7754601","Gh","","Symbol.for","aiChat.IMemoryPaneService"
"485","7758437","Gh","","Symbol.for","aiChat.IMemoryPaneService"
"486","7758531","ED","","Symbol.for","aiAgent.IEnvironmentFacade"
"487","7758686","ED","","Symbol.for","aiAgent.IEnvironmentFacade"
"488","7758773","Eh","","Symbol.for","aiAgent.IStorageFacade"
"489","7758862","","","",""
"490","7765304","Au","","Symbol.for","aiAgent.IFileFacade"
"491","7765391","bY","","Symbol.for","aiAgent.ILogService"
"492","7765478","Tm","","Symbol.for","ai.IDocsetStore"
"493","7765565","I7","","Symbol","IProjectStore"
"494","7765653","ED","","Symbol.for","aiAgent.IEnvironmentFacade"
"495","7765740","","","",""
"496","7765890","GS","","Symbol.for","aiChat.IMemoryStore"
"497","7766084","GS","","Symbol.for","aiChat.IMemoryStore"
"498","7766172","kS","","Symbol.for","aiAgent.IAiAgentClientManagerService"
"499","7766267","ks","","Symbol.for","aiAgent.IAiAgentClientManagerService"
"500","7766442","ks","","Symbol.for","aiAgent.IAiAgentClientManagerService"
"501","7768176","ks","_tokenUsageConfig","Symbol.for","aiAgent.IAiAgentClientManagerService"
"502","7768936","Tm","","Symbol.for","ai.IDocsetStore"
"503","7769023","bY","","Symbol.for","aiAgent.ILogService"
"504","7773430","TQ","","Symbol","ITasksHubStore"
"505","7773519","xC","","Symbol","ISessionStore"
"506","7773607","GI","","Symbol.for","ITaskListApiService"
"507","7773701","bY","","Symbol.for","aiAgent.ILogService"
"508","7773895","bY","","Symbol.for","aiAgent.ILogService"
"509","7773982","Ma","","Symbol.for","ITeaFacade"
"510","7818652","","","",""
"511","7818843","","","",""
"512","7819042","jO","","Symbol.for","IPlanService"
"513","7819209","jO","","Symbol.for","IPlanService"
"514","7819297","D6","","Symbol","IAgentService"
"515","7819448","D6","","Symbol","IAgentService"
"516","7819587","D6","","Symbol","IAgentService"
"517","7819676","Eh","","Symbol.for","aiAgent.IStorageFacade"
"518","7819855","Eh","","Symbol.for","aiAgent.IStorageFacade"
"519","7819944","xC","","Symbol","ISessionStore"
"520","7820033","Db","","Symbol","IFastApplyStore"
"521","7820124","xJ","","Symbol.for","IEditorFacade"
"522","7820213","xL","","Symbol.for","IWorkspaceFacade"
"523","7820305","jW","","Symbol.for","aiAgent.ICKGService"
"524","7820392","Me","","Symbol.for","IViewsFacade"
"525","7820480","Dp","","Symbol.for","aiAgent.IChatService"
"526","7820568","Au","","Symbol.for","aiAgent.IFileFacade"
"527","7820655","Di","","Symbol.for","aiAgent.IAiAgentNativeChatService"
"528","7820750","","","",""
"529","7820938","Cv","","Symbol.for","aiAgent.II18nService"
"530","7821142","Cv","","Symbol.for","aiAgent.II18nService"
"531","7821230","Wh","","Symbol.for","aiAgent.IAiNativeIDEApiService"
"532","7821328","Tm","","Symbol.for","ai.IDocsetStore"
"533","7821408","Do","","",""
"534","7821492","bY","","Symbol.for","aiAgent.ILogService"
"535","7821583","bY","","Symbol.for","aiAgent.ILogService"
"536","7821670","GP","","Symbol.for","aiAgent.ICodeActionService"
"537","7821764","Dr","","Symbol.for","aiAgent.IChatSnapshotService"
"538","7821860","IZ","","Symbol","IConfigurationStore"
"539","7821955","Gz","","Symbol.for","aiNg.IAgentProjectService"
"540","7822046","GB","","Symbol.for","aiAgent.IViewsService"
"541","7822136","I7","","Symbol","IProjectStore"
"542","7822225","Ci","","Symbol","aiAgent.ICredentialConnectorService"
"543","7822328","Mz","","Symbol.for","aiAgent.IContextKeyFacade"
"544","7822420","zO","","Symbol.for","aiAgent.ITaskService"
"545","7822508","AM","","Symbol.for","IUtilFacade"
"546","7822595","kd","","Symbol.for","aiChat.IAIChatRequestErrorService"
"547","7822697","ED","","Symbol.for","aiAgent.IEnvironmentFacade"
"548","7822784","kS","","Symbol.for","aiAgent.IAiAgentClientManagerService"
"549","7822879","jP","","",""
"550","7822976","","","",""
"551","7823151","Nc","","Symbol","IEntitlementStore"
"552","7823326","Nc","","Symbol","IEntitlementStore"
"553","7823419","Ie","","Symbol","ISoloModeManagerStore"
"554","7823516","Wm","","Symbol.for","aiAgent.IAiNativeFastApplyBaseService"
"555","7823621","k1","","Symbol","IModelStore"
"556","7823708","kv","","Symbol.for","IModelService"
"557","7823797","kA","","Symbol.for","aiAgent.IAiNativeModelService"
"558","7823888","","","",""
"559","7823980","GU","","Symbol","ITasksHubService"
"560","7824195","GU","","Symbol","ITasksHubService"
"561","7824287","zt","","Symbol.for","IChatStreamEmitter"
