"TokenVar","TokenType","TokenString","ClassName","RegOffset","InjectionCount","TargetProps","HasRegistration"
"zl","Symbol","IFeeUsageStreamParser","zh","7491172","0","","True"
"z6","Symbol.for","IContextTokenUsageStreamParser","z7","7525529","0","","True"
"zE","Symbol.for","ITextMessageChatStreamParser","zx","7505923","0","","True"
"Yh","Symbol.for","IASRService","J_","8035527","0","","True"
"z9","Symbol.for","ISessionTitleMessageStreamParser","Br","7526649","0","","True"
"eYV","Symbol.for","aiAgent.IAiCompletionService","","10475752","0","","True"
"G8","Symbol.for","aiChat.IInlineChatSessionService","Hn","7828420","0","","True"
"et8","Symbol.for","IKnowledgesStatusBarService","","8202436","0","","True"
"etr","Symbol.for","aiAgent.IForkChatService","etc","8101271","0","","True"
"HN","Symbol","IChatListService","HW","7856911","0","","True"
"Ho","Symbol.for","aiAgent.INativeUIService","Hu","7831328","0","","True"
"H2","Symbol.for","aiAgent.IHistoryService","Yr","7887766","0","","True"
"HH","","","Hq","7859447","0","","True"
"B8","Symbol.for","aiAgent.IPastChatExporter","Fa","7578316","0","","True"
"ee3","Symbol.for","IContributionService","etn","8100376","0","","True"
"B0","Symbol.for","IFileDiffProvider","B9","7574315","0","","True"
"B7","Symbol.for","aiAgent.IAiNativeIDEChatImageService","WO","7705038","0","","True"
"egl","Symbol","ITaskSectionStore","","8628834","0","","True"
"eRW","Symbol","aiChat.IDSLAgentStore","","9893009","0","","True"
"ee4","Symbol.for","aiAgent.IAskUserQuestionDraftCacheService","ee7","8095649","0","","True"
"eej","Symbol.for","IFileOpFeatureService","","8087846","0","","True"
"Hp","Symbol.for","aiAgent.IOpenerService","Hw","7838708","0","","True"
"NE","Symbol.for","IModelTipConfigService","NR","7271037","0","","True"
"Ng","Symbol","aiChat.IGitReposStore","NS","7266895","0","","True"
"N2","Symbol.for","ISimpleBoolCacheService","N8","7298351","0","","True"
"N6","Symbol.for","IModelReportService","De","7299767","0","","True"
"U_","Symbol.for","aiAgent.IToolCallService","UA","7639727","0","","True"
"Up","Symbol.for","aiAgent.IAiModuleManagerService","Ub","7638373","0","","True"
"Td","Symbol","IChatStore","Tm","7233822","0","","True"
"TG","Symbol","IAgentExtensionStore","TV","7254532","0","","True"
"JC","Symbol","ILintErrorService","","8042738","0","","True"
"Jf","Symbol.for","aiAgent.INetworkService","Jw","8036511","0","","True"
"Hv","Symbol.for","aiAgent.IThemeService","HA","7839996","0","","True"
"J3","Symbol.for","aiAgent.IChatSuperCompletionService","","8063583","0","","True"
"MT","Symbol.for","aiAgent.IThemeFacade","MP","7148266","0","","True"
"N0","Symbol.for","IChatAgentGuideStorageService","N4","7296973","0","","True"
"JS","Symbol.for","IAutoAcceptService","Jk","8040896","0","","True"
"Jy","Symbol.for","IPrivacyModeService","JE","8039908","0","","True"
